datetime,tempmax,tempmin,conditions,precip
2024-01-01,10.2,7.2,"Rain, Overcast",16.509
2024-01-02,12.2,9.4,"Rain, Overcast",21.19
2024-01-03,11.4,8.9,"Rain, Partially cloudy",8.015
2024-01-04,10.4,8.9,"Rain, Partially cloudy",0.406
2024-01-05,10.1,5.9,"Rain, Overcast",8.993
2024-01-06,6.2,4.3,"Rain, Overcast",0.001
2024-01-07,5.0,-0.6,"Rain, Partially cloudy",1.398
2024-01-08,0.6,-1.8,Partially cloudy,0.0
2024-01-09,-0.4,-4.1,Partially cloudy,0.0
2024-01-10,-1.1,-5.9,Partially cloudy,0.0
2024-01-11,5.3,-3.6,Partially cloudy,0.0
2024-01-12,6.0,4.3,Overcast,0.0
2024-01-13,4.3,2.4,Overcast,0.0
2024-01-14,5.7,0.8,"Rain, Overcast",0.199
2024-01-15,4.9,0.6,Partially cloudy,0.0
2024-01-16,4.1,-1.7,Partially cloudy,0.0
2024-01-17,2.1,-0.9,"Snow, Rain, Overcast",0.009
2024-01-18,2.7,1.0,"Snow, Rain, Partially cloudy",0.797
2024-01-19,5.5,0.6,Clear,0.0
2024-01-20,2.0,-2.9,Partially cloudy,0.0
2024-01-21,10.4,-0.4,"Rain, Overcast",0.199
2024-01-22,10.9,8.9,"Rain, Partially cloudy",2.606
2024-01-23,11.2,7.9,"Rain, Partially cloudy",0.401
2024-01-24,10.9,8.9,Overcast,0.0
2024-01-25,10.4,7.9,"Rain, Overcast",0.8
2024-01-26,10.7,7.0,"Rain, Partially cloudy",1.399
2024-01-27,6.9,2.3,Partially cloudy,0.0
2024-01-28,9.6,3.3,Partially cloudy,0.0
2024-01-29,11.6,7.5,Overcast,0.0
2024-01-30,11.8,7.3,Overcast,0.0
2024-01-31,9.6,6.3,Overcast,0.0
2024-02-01,9.7,5.5,"Rain, Partially cloudy",0.601
2024-02-02,9.2,7.1,Partially cloudy,0.0
2024-02-03,9.4,9.2,Overcast,0.0
2024-02-04,9.7,9.2,Overcast,0.0
2024-02-05,9.4,7.9,"Rain, Overcast",0.398
2024-02-06,10.6,9.1,Overcast,0.0
2024-02-07,10.1,4.9,"Rain, Overcast",12.899
2024-02-08,10.9,4.6,"Rain, Overcast",14.889
2024-02-09,12.4,9.9,"Rain, Overcast",1.807
2024-02-10,11.4,7.4,"Rain, Overcast",2.001
2024-02-11,9.2,6.6,"Rain, Overcast",1.399
2024-02-12,8.9,7.0,Partially cloudy,0.0
2024-02-13,10.4,6.3,"Rain, Partially cloudy",2.68
2024-02-14,13.5,10.0,"Rain, Overcast",3.319
2024-02-15,16.8,12.1,"Rain, Partially cloudy",0.806
2024-02-16,14.1,9.7,"Rain, Partially cloudy",0.199
2024-02-17,10.4,7.9,"Rain, Overcast",0.2
2024-02-18,10.8,8.9,"Rain, Overcast",14.997
2024-02-19,9.6,8.3,"Rain, Partially cloudy",1.201
2024-02-20,9.7,7.1,"Rain, Partially cloudy",0.199
2024-02-21,10.2,8.4,"Rain, Overcast",7.196
2024-02-22,13.2,5.9,"Rain, Overcast",4.21
2024-02-23,7.6,4.9,"Rain, Partially cloudy",19.56
2024-02-24,6.4,2.9,"Rain, Overcast",23.161
2024-02-25,8.2,4.8,"Rain, Partially cloudy",10.602
2024-02-26,6.7,5.4,"Rain, Overcast",22.952
2024-02-27,8.2,4.6,"Rain, Partially cloudy",0.001
2024-02-28,9.1,7.5,"Rain, Overcast",1.596
2024-02-29,11.9,5.7,"Rain, Overcast",6.597
2024-03-01,8.7,4.6,"Rain, Partially cloudy",6.897
2024-03-02,8.6,4.1,"Rain, Partially cloudy",0.001
2024-03-03,7.9,5.1,Overcast,0.0
2024-03-04,10.7,4.6,Partially cloudy,0.0
2024-03-05,8.7,5.7,"Rain, Overcast",0.002
2024-03-06,9.7,5.3,Partially cloudy,0.0
2024-03-07,11.9,4.6,Partially cloudy,0.0
2024-03-08,11.4,3.2,Partially cloudy,0.0
2024-03-09,12.9,6.6,Partially cloudy,0.0
2024-03-10,9.7,7.7,"Rain, Overcast",1.801
2024-03-11,8.2,7.2,"Rain, Overcast",1.399
2024-03-12,10.9,7.4,"Rain, Overcast",13.505
2024-03-13,12.1,9.7,Overcast,0.0
2024-03-14,16.1,10.1,Partially cloudy,0.0
2024-03-15,12.1,9.7,"Rain, Overcast",0.206
2024-03-16,10.9,8.1,"Rain, Overcast",0.001
2024-03-17,12.7,9.7,"Rain, Overcast",1.601
2024-03-18,11.2,9.7,"Rain, Overcast",0.002
2024-03-19,12.4,9.7,Overcast,0.0
2024-03-20,14.2,9.1,Partially cloudy,0.0
2024-03-21,9.9,7.9,Partially cloudy,0.0
2024-03-22,9.7,7.2,"Rain, Overcast",4.2
2024-03-23,9.4,6.1,Partially cloudy,0.0
2024-03-24,11.0,6.9,Partially cloudy,0.0
2024-03-25,12.3,5.6,Partially cloudy,0.0
2024-03-26,11.6,7.8,"Rain, Overcast",0.199
2024-03-27,12.3,6.1,"Rain, Partially cloudy",4.386
2024-03-28,13.5,7.1,"Rain, Partially cloudy",6.9
2024-03-29,17.5,8.2,"Rain, Partially cloudy",1.0
2024-03-30,12.9,8.1,"Rain, Partially cloudy",0.9
2024-03-31,15.1,7.3,"Rain, Partially cloudy",3.7
2024-04-01,15.4,8.5,"Rain, Partially cloudy",0.7
2024-04-02,15.4,9.2,"Rain, Partially cloudy",3.0
2024-04-03,11.4,9.6,"Rain, Overcast",10.306
2024-04-04,12.4,10.1,"Rain, Partially cloudy",5.995
2024-04-05,15.1,12.4,"Rain, Partially cloudy",0.401
2024-04-06,19.9,15.3,Partially cloudy,0.0
2024-04-07,15.7,12.1,Partially cloudy,0.0
2024-04-08,18.6,9.6,"Rain, Partially cloudy",0.003
2024-04-09,11.9,8.2,"Rain, Partially cloudy",0.4
2024-04-10,12.2,8.3,Partially cloudy,0.0
2024-04-11,11.7,10.9,Overcast,0.0
2024-04-12,14.9,11.2,Partially cloudy,0.0
2024-04-13,16.9,10.7,Partially cloudy,0.0
2024-04-14,12.2,9.7,Partially cloudy,0.0
2024-04-15,11.7,5.7,"Rain, Partially cloudy",1.207
2024-04-16,11.4,7.6,"Rain, Partially cloudy",0.201
2024-04-17,9.7,6.2,"Rain, Partially cloudy",0.998
2024-04-18,10.7,3.7,"Rain, Partially cloudy",0.4
2024-04-19,11.6,7.0,"Rain, Partially cloudy",0.803
2024-04-20,9.6,5.9,"Rain, Partially cloudy",0.001
2024-04-21,10.4,4.6,"Rain, Partially cloudy",0.8
2024-04-22,10.2,4.6,"Rain, Partially cloudy",0.399
2024-04-23,8.6,4.1,"Rain, Partially cloudy",1.398
2024-04-24,9.1,4.7,Overcast,0.0
2024-04-25,10.2,4.3,"Rain, Overcast",0.201
2024-04-26,9.7,6.4,"Rain, Overcast",8.789
2024-04-27,13.5,7.6,"Rain, Overcast",7.488
2024-04-28,11.7,8.1,"Rain, Partially cloudy",4.303
2024-04-29,14.6,6.6,"Rain, Partially cloudy",0.199
2024-04-30,15.7,10.1,"Rain, Partially cloudy",0.202
2024-05-01,18.5,12.0,"Rain, Partially cloudy",0.7
2024-05-02,12.5,10.9,Overcast,0.0
2024-05-03,12.6,10.1,"Rain, Partially cloudy",0.002
2024-05-04,14.2,8.3,"Rain, Partially cloudy",5.581
2024-05-05,14.9,7.6,Partially cloudy,0.0
2024-05-06,13.4,11.2,"Rain, Overcast",2.203
2024-05-07,16.9,9.9,Partially cloudy,0.0
2024-05-08,13.7,9.3,Overcast,0.0
2024-05-09,16.1,8.3,Partially cloudy,0.0
2024-05-10,20.9,13.0,Partially cloudy,0.0
2024-05-11,24.1,12.6,Partially cloudy,0.0
2024-05-12,25.0,16.6,Partially cloudy,0.0
2024-05-13,19.2,11.7,Partially cloudy,0.0
2024-05-14,17.1,13.2,"Rain, Overcast",3.206
